id	primary_name	subordinate_name_1	subordinate_name_2	number	dates	qualifier	source_id	rules_id	sort_name	authority_id
4039	Lawyers Committee for International Human Rights	NULL	NULL	NULL	NULL	NULL	237	NULL	Lawyers Committee for International Human Rights	n79029050
4040	Inter-American Commission on Human Rights	NULL	NULL	NULL	NULL	NULL	237	NULL	Inter-American Commission on Human Rights	n79133208
4042	Trinidad and Tobago	Office of the Premier	NULL	NULL	NULL	NULL	237	NULL	Trinidad and Tobago. Office of the Premier	n81012253
4044	Trinidad and Tobago	Government Printing Office	NULL	NULL	NULL	NULL	237	NULL	Trinidad and Tobago. Government Printing Office	no2006014638
4052	United States	Office of International Trade	NULL	NULL	NULL	NULL	237	NULL	United States. Office of International Trade	no97002668
4054	Dominica	Government Information Service	NULL	NULL	NULL	NULL	237	NULL	Dominica. Government Information Service	n84041613
4055	United States	Bureau of Inter-American Affairs	NULL	NULL	NULL	NULL	237	NULL	United States. Bureau of Inter-American Affairs	n84183365
4058	Dominica	Ministry of Finance	Statistical Division	NULL	NULL	NULL	237	NULL	Dominica. Ministry of Finance. Statistical Division	n83176266
4062	Jamaica Cultural Development Commission	NULL	NULL	NULL	NULL	NULL	237	NULL	Jamaica Cultural Development Commission	n84011816
4065	Jamaica	Governor General	NULL	NULL	NULL	NULL	237	NULL	Jamaica. Governor General	no90020309
4067	International Development Research Centre (Canada)	NULL	NULL	NULL	NULL	NULL	237	NULL	International Development Research Centre (Canada)	n80004171
4071	Jamaica Library Service	NULL	NULL	NULL	NULL	NULL	237	NULL	Jamaica Library Service	n50081671
4072	Great Britain	Civil Service Preparatory Commission	NULL	NULL	NULL	NULL	237	NULL	Great Britain. Civil Service Preparatory Commission	no96061361
4076	American Council on Education	Overseas Liaison Committee	NULL	NULL	NULL	NULL	237	241	American Council on Education. Overseas Liaison Committee	n80020578
4078	Caribbean Free Trade Association	Commonwealth Caribbean Regional Secretariat	NULL	NULL	NULL	NULL	237	NULL	Caribbean Free Trade Association. Commonwealth Caribbean Regional Secretariat	n79064919
4086	Trinidad and Tobago	Office of the Prime Minister	NULL	NULL	NULL	NULL	237	NULL	Trinidad and Tobago. Office of the Prime Minister	n80132972
4091	World Fertility Survey	NULL	NULL	NULL	NULL	NULL	237	NULL	World Fertility Survey	n79083253
4094	Guyana	Ministry of Information	NULL	NULL	NULL	NULL	237	NULL	Guyana. Ministry of Information	n82237216
4096	Grenada	Ministry of Planning	NULL	NULL	NULL	NULL	237	NULL	Grenada. Ministry of Planning	n82090201
4099	Grenada Chamber of Industry and Commerce	Council of Management	NULL	NULL	NULL	NULL	237	NULL	Grenada Chamber of Industry and Commerce. Council of Management	n83203731
4100	Council on Hemispheric Affairs (U.S.)	NULL	NULL	NULL	NULL	NULL	237	NULL	Council on Hemispheric Affairs (U.S.)	n83008221
4101	Race Today Collective	NULL	NULL	NULL	NULL	NULL	237	NULL	Race Today Collective	n86835295
4104	PCD (Political party : Guyana)	NULL	NULL	NULL	NULL	NULL	237	NULL	PCD (Political party : Guyana)	n88126471
4107	Barbados	Government Information Office	NULL	NULL	NULL	NULL	237	NULL	Barbados. Government Information Office	no2006071897
4110	Jamaica Council for Human Rights	NULL	NULL	NULL	NULL	NULL	237	NULL	Jamaica Council for Human Rights	n82219320
4113	Great Britain	Timber Mission to the British West Indies, British Guiana and British Honduras	NULL	NULL	NULL	NULL	237	NULL	Great Britain. Timber Mission to the British West Indies, British Guiana and British Honduras	nb2007008518
4115	Grenada	Central Statistics Office	NULL	NULL	NULL	NULL	237	NULL	Grenada. Central Statistics Office	n82083069
4117	British Information Services	Reference Division	NULL	NULL	NULL	NULL	237	NULL	British Information Services. Reference Division	n81004285
4119	Guyana	Ministry of Foreign Affairs	NULL	NULL	NULL	NULL	237	NULL	Guyana. Ministry of Foreign Affairs	n50064061
4123	People's National Congress	NULL	NULL	NULL	NULL	NULL	237	NULL	People's National Congress	n77008631
4124	Guyana	Office of the President	NULL	NULL	NULL	NULL	237	NULL	Guyana. Office of the President	no96054450
4132	Antigua Trades and Labour Union	NULL	NULL	NULL	NULL	NULL	237	NULL	Antigua Trades and Labour Union	n84148123
